,sale_price,address,lat,lon,date_time,year,rel_to_mean_price,rel_to_median_price,tmstmp,date,log_price
51,58200,"23 JOHN PAUL COURT, Buffalo",42.8843203,-78.84173709999997,1990/02/01 00:00,1990,0.8232985926759646,1.058181818181818,633848400.0,02/01/90,10.97164063371953
52,62900,"77 PAUL, Buffalo",42.8587879,-78.81465990000002,1990/02/01 00:00,1990,0.8897849051429241,1.1436363636363636,633848400.0,02/01/90,11.049301442688533
53,80000,"2 STONEBORO, Buffalo",42.9380824,-78.83680439999998,1990/02/01 00:00,1990,1.131681914331223,1.4545454545454546,633848400.0,02/01/90,11.289781913656018
54,55000,"70 STRATHMORE, Buffalo",42.8499281,-78.81713789999998,1990/02/01 00:00,1990,0.7780313161027157,1.0,633848400.0,02/01/90,10.915088464214607
55,75000,"77 MILFORD, Buffalo",42.8535028,-78.81523519999998,1990/02/01 00:00,1990,1.0609517946855214,1.3636363636363635,633848400.0,02/01/90,11.225243392518447
56,50000,"403 CUMBERLAND, Buffalo",42.85035560000001,-78.8123146,1990/02/01 00:00,1990,0.7073011964570143,0.9090909090909092,633848400.0,02/01/90,10.819778284410283
57,150000,"38 CLARENDON, Buffalo",42.9270527,-78.8705978,1990/02/01 00:00,1990,2.1219035893710427,2.727272727272727,633848400.0,02/01/90,11.918390573078392
58,86000,"775 TIFFT, Buffalo",42.84677569999999,-78.8305886,1990/02/01 00:00,1990,1.2165580579060646,1.5636363636363635,633848400.0,02/01/90,11.362102575235644
59,39900,"112 FENNIMORE, Buffalo",42.9382731,-78.80691589999998,1990/02/01 00:00,1990,0.5644263547726974,0.7254545454545455,633848400.0,02/01/90,10.594131602877955
60,39900,"361 HUMBOLDT, Buffalo",42.9243603,-78.8460853,1990/02/01 00:00,1990,0.5644263547726974,0.7254545454545455,633848400.0,02/01/90,10.594131602877955
61,48000,"151 LONGNECKER, Buffalo",42.8889438,-78.8083135,1990/02/01 00:00,1990,0.6790091485987337,0.8727272727272727,633848400.0,02/01/90,10.778956289890028
62,98500,"75 DEPEW EAST, Buffalo",42.9416421,-78.8327122,1990/02/01 00:00,1990,1.3933833570203182,1.790909090909091,633848400.0,02/01/90,11.49781182716018
