sale_price_int,Address,lat,lng,data_time_1,year,rel_to_mean_price,rel_to_median_price
112000,"26 FORDHAM, Buffalo",42.9384765,-78.87344909999999,1990/02/01 00:00,1990,1.584354680063712,2.036363636363636
49900,"221 HUTCHINSON, Buffalo",42.93793820000001,-78.81532370000002,1990/02/01 00:00,1990,0.7058865940641003,0.9072727272727272
65000,"763 ABBOTT, Buffalo",42.8433779,-78.80949240000002,1990/02/01 00:00,1990,0.9194915553941185,1.1818181818181819
36900,"357 GOLD, Buffalo",42.8946106,-78.8046147,1990/02/01 00:00,1990,0.5219882829852766,0.6709090909090909
34000,"55 COLFAX, Buffalo",42.930732299999995,-78.8269631,1990/02/01 00:00,1990,0.4809648135907697,0.6181818181818182
45000,"98 WESTON, Buffalo",42.928521,-78.8101021,1990/02/01 00:00,1990,0.6365710768113129,0.8181818181818182
40100,"313 LONGNECKER, Buffalo",42.8934753,-78.80827790000002,1990/02/01 00:00,1990,0.5672555595585255,0.7290909090909091
284739,"422 ONTARIO, Buffalo",42.955464899999996,-78.898814,1990/02/01 00:00,1990,4.0279247075594755,5.177072727272727
41000,"525 DARTMOUTH, Buffalo",42.94323920000001,-78.80510149999998,1990/02/01 00:00,1990,0.5799869810947518,0.7454545454545455
64000,"177 SHEFFIELD, Buffalo",42.8425946,-78.816983,1990/02/01 00:00,1990,0.9053455314649783,1.1636363636363636
54300,"117 HENRIETTA, Buffalo",42.9578506,-78.90168369999998,1990/02/01 00:00,1990,0.7681290993523175,0.9872727272727273
72000,"32 RUSPIN, Buffalo",42.9317804,-78.8123897,1990/02/01 00:00,1990,1.0185137228981005,1.309090909090909
56000,"140 EASTON, Buffalo",42.927767100000004,-78.8085533,1990/02/01 00:00,1990,0.792177340031856,1.018181818181818
14000,"393 FULTON, Buffalo",42.871094899999996,-78.856673,1990/02/01 00:00,1990,0.198044335007964,0.2545454545454545
45000,"2992 BAILEY, Buffalo",42.936221100000004,-78.8139077,1990/02/01 00:00,1990,0.6365710768113129,0.8181818181818182
